2025-04-12 23:11:06,423 - ERROR - D:\AI\vector\output_dir\output_part_129.json | Line: 1178 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,507 - ERROR - D:\AI\vector\output_dir\output_part_130.json | Line: 2088 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,683 - ERROR - D:\AI\vector\output_dir\output_part_132.json | Line: 1770 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,733 - ERROR - D:\AI\vector\output_dir\output_part_133.json | Line: 820 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,813 - ERROR - D:\AI\vector\output_dir\output_part_134.json | Line: 617 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,040 - ERROR - D:\AI\vector\output_dir\output_part_137.json | Line: 660 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,263 - ERROR - D:\AI\vector\output_dir\output_part_140.json | Line: 1326 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,408 - ERROR - D:\AI\vector\output_dir\output_part_142.json | Line: 2266 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,493 - ERROR - D:\AI\vector\output_dir\output_part_143.json | Line: 2228 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,568 - ERROR - D:\AI\vector\output_dir\output_part_144.json | Line: 2320 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,728 - ERROR - D:\AI\vector\output_dir\output_part_146.json | Line: 2129 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,808 - ERROR - D:\AI\vector\output_dir\output_part_147.json | Line: 1250 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,886 - ERROR - D:\AI\vector\output_dir\output_part_148.json | Line: 2518 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:07,961 - ERROR - D:\AI\vector\output_dir\output_part_149.json | Line: 2183 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,041 - ERROR - D:\AI\vector\output_dir\output_part_150.json | Line: 2186 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,130 - ERROR - D:\AI\vector\output_dir\output_part_151.json | Line: 2235 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,452 - ERROR - D:\AI\vector\output_dir\output_part_155.json | Line: 2459 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,616 - ERROR - D:\AI\vector\output_dir\output_part_157.json | Line: 2433 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,693 - ERROR - D:\AI\vector\output_dir\output_part_158.json | Line: 2586 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,860 - ERROR - D:\AI\vector\output_dir\output_part_160.json | Line: 1754 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:08,928 - ERROR - D:\AI\vector\output_dir\output_part_161.json | Line: 2368 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,004 - ERROR - D:\AI\vector\output_dir\output_part_162.json | Line: 2175 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,085 - ERROR - D:\AI\vector\output_dir\output_part_163.json | Line: 1737 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,162 - ERROR - D:\AI\vector\output_dir\output_part_164.json | Line: 1633 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,240 - ERROR - D:\AI\vector\output_dir\output_part_165.json | Line: 1644 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,305 - ERROR - D:\AI\vector\output_dir\output_part_166.json | Line: 1363 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,443 - ERROR - D:\AI\vector\output_dir\output_part_168.json | Line: 1045 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,521 - ERROR - D:\AI\vector\output_dir\output_part_169.json | Line: 698 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,674 - ERROR - D:\AI\vector\output_dir\output_part_171.json | Line: 1358 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,822 - ERROR - D:\AI\vector\output_dir\output_part_173.json | Line: 2120 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,911 - ERROR - D:\AI\vector\output_dir\output_part_174.json | Line: 1911 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:09,980 - ERROR - D:\AI\vector\output_dir\output_part_175.json | Line: 1193 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,128 - ERROR - D:\AI\vector\output_dir\output_part_177.json | Line: 1710 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,201 - ERROR - D:\AI\vector\output_dir\output_part_178.json | Line: 1480 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,313 - ERROR - D:\AI\vector\output_dir\output_part_180.json | Line: 733 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,686 - ERROR - D:\AI\vector\output_dir\output_part_181.json | Line: 52 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,763 - ERROR - D:\AI\vector\output_dir\output_part_182.json | Line: 1985 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,830 - ERROR - D:\AI\vector\output_dir\output_part_183.json | Line: 1604 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,883 - ERROR - D:\AI\vector\output_dir\output_part_184.json | Line: 1165 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:10,963 - ERROR - D:\AI\vector\output_dir\output_part_185.json | Line: 1161 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,113 - ERROR - D:\AI\vector\output_dir\output_part_187.json | Line: 1290 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,133 - ERROR - D:\AI\vector\output_dir\output_part_188.json | Line: 290 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,280 - ERROR - D:\AI\vector\output_dir\output_part_190.json | Line: 1789 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,349 - ERROR - D:\AI\vector\output_dir\output_part_191.json | Line: 1368 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,428 - ERROR - D:\AI\vector\output_dir\output_part_192.json | Line: 1270 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,498 - ERROR - D:\AI\vector\output_dir\output_part_193.json | Line: 1885 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,584 - ERROR - D:\AI\vector\output_dir\output_part_194.json | Line: 1946 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,663 - ERROR - D:\AI\vector\output_dir\output_part_195.json | Line: 1792 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,747 - ERROR - D:\AI\vector\output_dir\output_part_196.json | Line: 1841 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,817 - ERROR - D:\AI\vector\output_dir\output_part_197.json | Line: 2093 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,898 - ERROR - D:\AI\vector\output_dir\output_part_198.json | Line: 1006 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:11,974 - ERROR - D:\AI\vector\output_dir\output_part_199.json | Line: 1617 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,050 - ERROR - D:\AI\vector\output_dir\output_part_200.json | Line: 957 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,122 - ERROR - D:\AI\vector\output_dir\output_part_201.json | Line: 1330 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,197 - ERROR - D:\AI\vector\output_dir\output_part_202.json | Line: 1249 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,275 - ERROR - D:\AI\vector\output_dir\output_part_203.json | Line: 1187 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,443 - ERROR - D:\AI\vector\output_dir\output_part_205.json | Line: 1477 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,520 - ERROR - D:\AI\vector\output_dir\output_part_206.json | Line: 2190 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,685 - ERROR - D:\AI\vector\output_dir\output_part_208.json | Line: 2230 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' заменено на 
2025-04-12 23:11:12,686 - ERROR - D:\AI\vector\output_dir\output_part_208.json | Line: 2230 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' слишком короткое (мин. 900 симв.)
2025-04-12 23:11:12,686 - ERROR - D:\AI\vector\output_dir\output_part_208.json | Line: 2230 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,764 - ERROR - D:\AI\vector\output_dir\output_part_209.json | Line: 452 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,845 - ERROR - D:\AI\vector\output_dir\output_part_210.json | Line: 1095 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:12,925 - ERROR - D:\AI\vector\output_dir\output_part_211.json | Line: 1271 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,009 - ERROR - D:\AI\vector\output_dir\output_part_212.json | Line: 1406 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,086 - ERROR - D:\AI\vector\output_dir\output_part_213.json | Line: 1244 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,157 - ERROR - D:\AI\vector\output_dir\output_part_214.json | Line: 1782 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,235 - ERROR - D:\AI\vector\output_dir\output_part_215.json | Line: 1333 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,310 - ERROR - D:\AI\vector\output_dir\output_part_216.json | Line: 1496 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,383 - ERROR - D:\AI\vector\output_dir\output_part_217.json | Line: 2577 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,540 - ERROR - D:\AI\vector\output_dir\output_part_219.json | Line: 1337 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,609 - ERROR - D:\AI\vector\output_dir\output_part_220.json | Line: 1134 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,767 - ERROR - D:\AI\vector\output_dir\output_part_222.json | Line: 1264 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,838 - ERROR - D:\AI\vector\output_dir\output_part_223.json | Line: 707 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:13,985 - ERROR - D:\AI\vector\output_dir\output_part_225.json | Line: 1816 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,055 - ERROR - D:\AI\vector\output_dir\output_part_226.json | Line: 1722 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,129 - ERROR - D:\AI\vector\output_dir\output_part_227.json | Line: 953 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,204 - ERROR - D:\AI\vector\output_dir\output_part_228.json | Line: 1625 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,282 - ERROR - D:\AI\vector\output_dir\output_part_229.json | Line: 1042 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,356 - ERROR - D:\AI\vector\output_dir\output_part_230.json | Line: 1627 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,431 - ERROR - D:\AI\vector\output_dir\output_part_231.json | Line: 1631 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,495 - ERROR - D:\AI\vector\output_dir\output_part_232.json | Line: 1778 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,577 - ERROR - D:\AI\vector\output_dir\output_part_233.json | Line: 1511 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,650 - ERROR - D:\AI\vector\output_dir\output_part_234.json | Line: 2217 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,733 - ERROR - D:\AI\vector\output_dir\output_part_235.json | Line: 2049 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:14,804 - ERROR - D:\AI\vector\output_dir\output_part_236.json | Line: 1512 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
